date	author_id	text	likes	retweets	replies	clean_text	sentiment	confidence
2025-11-17 11:12:57+00:00	169445636	"Melihat Stasiun Shenzhenbei (Shenzhen North) buat naik kereta cepat pulang dari Shenzhen ke Hong Kong

Melihat skala stasiun kereta cepat di China yang sebesar ini sebenernya menunjukkan stasiun Halim sebetulnya untuk standar Tiongkok itu gak besar-besar amat 😅 https://t.co/5H15AUMpKG"	11	2	1	melihat stasiun shenzhenbei shenzhen north buat naik kereta cepat pulang shenzhen hong kong melihat skala stasiun kereta cepat china sebesar sebenernya menunjukkan stasiun halim standar tiongkok gak besar besar	positive	0.5110319256782532
2025-11-17 11:08:28+00:00	169445636	"Melihat Stasiun Shenzhenbei (Shenzhen North) buat naik kereta cepat pulang dari Shenzhen ke Hong Kong

Melihat skala stasiun kereta cepat di China yang sebesar ini sebenernya menunjukkan stasiun Halim sebetulnya untuk standar Tiongkok itu gak besar-besar amat 😅 https://t.co/sx1a0q5ljO"	7	0	1	melihat stasiun shenzhenbei shenzhen north buat naik kereta cepat pulang shenzhen hong kong melihat skala stasiun kereta cepat china sebesar sebenernya menunjukkan stasiun halim standar tiongkok gak besar besar	positive	0.4732450246810913
2025-11-17 11:06:16+00:00	1129372831744053249	"@RikeSants Nyesek banget buat dijadiin bahan pembelajaran negara2 di asia.
""Kalo mau bikin kereta cepat pikirkan baik2 jangan sampe kejadian kaya indonesia""."	0	0	0	nyesek banget buat dijadiin bahan pembelajaran negara asia kalo mau bikin kereta cepat pikirkan baik jangan sampe kejadian kaya indonesia	negative	0.9259456396102905
2025-11-17 11:02:00+00:00	1471835353019387904	"KCIC II - 19. Menggoda Pegawai Gudang
https://t.co/NmvLTSY8mf

Ideku untuk menggoda pegawai di sebuah gudang di dekat kosan yang begitu menarik bagiku. Berdasarkan saran dari internet kini aku lakukan.
Dan ternyata, semua terbukti benar, tepat, akurat!

https://t.co/pzoLHEaWic https://t.co/M9ZjrduPif"	1	0	0	kcic menggoda pegawai gudang ideku menggoda pegawai sebuah gudang dekat kosan menarik bagiku berdasarkan saran internet kini aku lakukan ternyata semua terbukti benar tepat akurat	positive	0.7315508127212524
2025-11-17 11:00:47+00:00	135795460	Makin Banyak yang Naik KA Parahyangan Meski Sudah Ada Kereta Cepat https://t.co/GaUdqZqeNJ	0	0	0	makin banyak naik parahyangan meski kereta cepat	neutral	0.7063778042793274
2025-11-17 10:56:18+00:00	4755284968	"Mantan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD menegaskan bahwa negara harus tetap membayar utang proyek kereta cepat Jakarta-Bandung atau Whoosh .

Hal ini dikarenakan transaksi proyek Whoosh dilaksanakan sesuai aturan undang-undang. https://t.co/6QqIcuNc8v"	0	0	0	mantan menteri koordinator bidang politik hukum keamanan menko polhukam mahfud menegaskan negara tetap membayar utang proyek kereta cepat jakarta bandung whoosh dikarenakan transaksi proyek whoosh dilaksanakan sesuai aturan undang undang	neutral	0.7067274451255798
2025-11-17 10:55:14+00:00	4755284968	"Mantan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD menegaskan bahwa negara harus tetap membayar utang proyek kereta cepat Jakarta-Bandung atau Whoosh .

Hal ini dikarenakan transaksi proyek Whoosh dilaksanakan sesuai aturan undang-undang. https://t.co/PUKsfaCC3V"	0	1	0	mantan menteri koordinator bidang politik hukum keamanan menko polhukam mahfud menegaskan negara tetap membayar utang proyek kereta cepat jakarta bandung whoosh dikarenakan transaksi proyek whoosh dilaksanakan sesuai aturan undang undang	neutral	0.7131727933883667
2025-11-17 10:53:02+00:00	1660693008596213760	"@RikeSants NGAWUR. 
Jepang iri, negara2 lain di Asia Tenggara pilih China, setelah WHOOSH jadi."	0	0	0	ngawur jepang iri negara asia tenggara pilih china whoosh jadi	negative	0.928774356842041
2025-11-17 10:38:23+00:00	18129942	"Baca artikel ini dan share pendapat kalian di kolom komentar!
https://t.co/vJvSbng4TR"	0	0	0	baca artikel share pendapat kalian kolom komentar	neutral	0.7594735622406006
2025-11-17 10:23:41+00:00	2683801656	Kereta cepat apa Jalan di pelosok negeri https://t.co/oV9FaTMGkZ	0	0	0	kereta cepat apa jalan pelosok negeri	neutral	0.8413200378417969
